Overall,Team,Player,Player ID,Nationality,Position,Pos2,Age,To,Amateur Team,Amateur League,Games Played,Goals,Assists,Points,+/-,Penalty Minutes,Wins,Loses,Ties,Save %,Goals Against Avg,Round,Draft Year
1,Edmonton Oilers,Connor McDavid,mcdavco01,CA,C,,18,2019,Erie,OHL,287,128,244,372,49,90,,,,,,1,2015
2,Buffalo Sabres,Jack Eichel,eicheja01,US,C,,18,2019,Boston University,H-East,286,101,158,259,-65,102,,,,,,1,2015
3,Arizona Coyotes,Dylan Strome,stromdy01,CA,C,,18,2019,Erie,OHL,106,24,43,67,-9,28,,,,,,1,2015
4,Toronto Maple Leafs,Mitchell Marner,marnemi01,CA,C,,18,2019,London,OHL,241,67,157,224,21,86,,,,,,1,2015
5,Carolina Hurricanes,Noah Hanifin,hanifno01,US,D,,18,2019,Boston College,H-East,319,23,93,116,-35,81,,,,,,1,2015
6,New Jersey Devils,Pavel Zacha,zachapa01,CZ,C,,18,2019,Sarnia,OHL,201,29,47,76,-22,64,,,,,,1,2015
7,Philadelphia Flyers,Ivan Provorov,provoiv01,RU,D,,18,2019,Brandon,WHL,246,30,67,97,-6,86,,,,,,1,2015
8,Columbus Blue Jackets,Zach Werenski,werenza01,US,D,,18,2019,Michigan,Big Ten,237,38,90,128,13,48,,,,,,1,2015
9,San Jose Sharks,Timo Meier,meierti01,CH,RW,,18,2019,Halifax,QMJHL,193,54,54,108,12,116,,,,,,1,2015
10,Colorado Avalanche,Mikko Rantanen,rantami01,FI,RW,,18,2019,TPS,Finland,239,80,129,209,-19,112,,,,,,1,2015
11,Florida Panthers,Lawson Crouse,crousla01,CA,LW,,18,2019,Kingston,OHL,164,17,21,38,-21,122,,,,,,1,2015
12,Dallas Stars,Denis Gurianov,guriade01,RU,RW,,18,2019,Togliatti 2,Russia-Jr.,22,1,3,4,-4,0,,,,,,1,2015
13,Boston Bruins,Jakub Zboril,zborija01,CZ,D,,18,2019,Saint John,QMJHL,2,0,0,0,0,0,,,,,,1,2015
14,Boston Bruins,Jake Debrusk,debruja01,CA,LW,,18,2019,Swift Current,WHL,138,43,42,85,15,37,,,,,,1,2015
15,Boston Bruins,Zachary Senyshyn,senysza01,CA,RW,,18,2019,Sault Ste. Marie,OHL,2,1,0,1,0,0,,,,,,1,2015
16,New York Islanders,Mathew Barzal,barzama01,CA,C,,18,2019,Seattle,WHL,166,40,107,147,-6,82,,,,,,1,2015
17,Winnipeg Jets,Kyle Connor,connoky01,US,LW,,18,2019,Youngstown,USHL,178,67,61,128,-6,38,,,,,,1,2015
18,Ottawa Senators,Thomas Chabot,chaboth01,CA,D,,18,2019,Saint John,QMJHL,134,23,57,80,-26,46,,,,,,1,2015
19,Detroit Red Wings,Evgeny Svechnikov,svechev01,RU,LW,,18,2018,Cape Breton,QMJHL,16,2,2,4,-2,8,,,,,,1,2015
20,Minnesota Wild,Joel Eriksson Ek,eriksjo02,SE,C,,18,2019,Farjestad,Sweden,148,16,21,37,-4,46,,,,,,1,2015
21,Ottawa Senators,Colin White,whiteco02,US,C,,18,2019,USA U-18,USHL,94,16,31,47,-23,32,,,,,,1,2015
