"SYS_FIELD_NAME"," FIELD_DESC",
"YEAR","Year",
"DAY_OF_WEEK","Day of Week",
"FL_DATE","Flight Date (yyyymmdd)",
"ORIGIN_AIRPORT_ID","Origin Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused.",
"ORIGIN_AIRPORT_SEQ_ID","Origin Airport, Airport Sequence ID. An identification number assigned by US DOT to identify a unique airport at a given point of time.  Airport attributes, such as airport name or coordinates, may change over time.",
"ORIGIN_CITY_MARKET_ID","Origin Airport, City Market ID. City Market ID is an identification number assigned by US DOT to identify a city market.  Use this field to consolidate airports serving the same city market.",
"ORIGIN_CITY_NAME","Origin Airport, City Name",
"DEST_AIRPORT_ID","Destination Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused.",
"DEST_AIRPORT_SEQ_ID","Destination Airport, Airport Sequence ID. An identification number assigned by US DOT to identify a unique airport at a given point of time.  Airport attributes, such as airport name or coordinates, may change over time.",
"DEST_CITY_MARKET_ID","Destination Airport, City Market ID. City Market ID is an identification number assigned by US DOT to identify a city market.  Use this field to consolidate airports serving the same city market.",
"DEST_CITY_NAME","Destination Airport, City Name",
"DEST_STATE_ABR","Destination Airport, State Code",
"DEP_DELAY","Difference in minutes between scheduled and actual departure time. Early departures show negative numbers.",
"ARR_TIME","Actual Arrival Time (local time: hhmm)",
"ARR_DELAY","Difference in minutes between scheduled and actual arrival time. Early arrivals show negative numbers.",
"ARR_DELAY_NEW","Difference in minutes between scheduled and actual arrival time. Early arrivals set to 0.",
"ARR_DEL15","Arrival Delay Indicator, 15 Minutes or More (1=Yes)",
