"","country","year","region","continent","population","infant_mortality","fertility","gdp","life_expectancy"
"2","Algeria",1960,"Northern Africa","Africa",11124892,148.2,7.65,13828152297,47.5
"5","Argentina",1960,"South America","Americas",20619075,59.87,3.11,108322326649,65.39
"8","Australia",1960,"Australia and New Zealand","Oceania",10292328,20.3,3.45,96677859364,70.87
"9","Austria",1960,"Western Europe","Europe",7065525,37.3,2.7,52392699681,68.75
"11","Bahamas",1960,"Caribbean","Americas",109526,51,4.5,1306269490,62
"13","Bangladesh",1960,"Southern Asia","Asia",48200702,176.3,6.73,12767231590,46.2
"14","Barbados",1960,"Caribbean","Americas",230934,69.5,4.33,784120376,61.8
"16","Belgium",1960,"Western Europe","Europe",9140563,29.5,2.6,68236665814,69.59
"18","Benin",1960,"Western Africa","Africa",2431620,186.9,6.28,621797131,38.29
"20","Bolivia",1960,"South America","Americas",3693451,173.4,6.7,3001815692,43.77
"22","Botswana",1960,"Southern Africa","Africa",524029,115.5,6.62,124460933,50.34
"23","Brazil",1960,"South America","Americas",72493585,129.4,6.21,105343379555,55.27
"26","Burkina Faso",1960,"Western Africa","Africa",4829291,161.3,6.29,596612183,35.21
"27","Burundi",1960,"Eastern Africa","Africa",2786740,145.1,6.95,341126765,40.58
"29","Cameroon",1960,"Middle Africa","Africa",5361367,166.9,5.65,2537944080,43.46
"30","Canada",1960,"Northern America","Americas",17909232,27.8,3.91,167894860728,71
"32","Central African Republic",1960,"Middle Africa","Africa",1503501,165.5,5.84,534982718,37.43
"34","Chile",1960,"South America","Americas",7695692,127.6,5.58,14087170195,56.85
"35","China",1960,"Eastern Asia","Asia",644450173,190,3.99,70348527260,30.53
"36","Colombia",1960,"South America","Americas",16480384,89.3,6.81,19017657851,58.03
"38","Congo, Dem. Rep.",1960,"Middle Africa","Africa",15248246,174,6,4992962083,43.9
"39","Congo, Rep.",1960,"Middle Africa","Africa",1013581,110.6,5.88,626127041,48.25
"40","Costa Rica",1960,"Central America","Americas",1333042,86.54,7.31,2398494445,61.97
"41","Cote d'Ivoire",1960,"Western Africa","Africa",3474724,208.4,7.35,2003623491,38
"46","Denmark",1960,"Northern Europe","Europe",4580708,21.3,2.54,52164745342,72.28
"48","Dominican Republic",1960,"Caribbean","Americas",3294039,102.1,7.56,3019307866,53.37
"49","Ecuador",1960,"South America","Americas",4545548,121.4,6.69,3641530019,54.09
"50","Egypt",1960,"Northern Africa","Africa",27072397,209.6,6.63,12008501551,48.31
"51","El Salvador",1960,"Central America","Americas",2762897,126.2,6.73,4017741905,52.02
"56","Fiji",1960,"Melanesia","Oceania",393383,54,6.46,437079701,55.7
"57","Finland",1960,"Northern Europe","Europe",4430228,21.9,2.71,32363088296,69.03
"58","France",1960,"Western Europe","Europe",45865699,23.7,2.77,349778187326,70.49
"64","Ghana",1960,"Western Africa","Africa",6652285,125.1,6.75,1902005320,46.34
"65","Greece",1960,"Southern Europe","Europe",8311386,48.3,2.22,28208389534,68.41
