sku,day,time,amount
C,Sun,10:20,9.99
A,Sun,10:28,12.99
B,Sun,10:43,4.49
A,Sun,11:17,12.99
C,Sun,11:23,9.99
B,Sun,11:30,4.49
B,Sun,12:09,4.49
C,Sun,12:22,9.99
C,Sun,12:30,9.99
B,Sun,13:00,4.49
C,Sun,13:12,9.99
C,Sun,13:20,9.99
B,Sun,13:39,4.49
A,Sun,16:11,12.99
D,Sun,16:27,24.99
A,Sun,16:35,12.99
A,Sun,16:55,12.99
A,Sun,16:59,12.99
C,Mon,08:30,9.99
B,Mon,08:35,4.49
C,Mon,08:40,9.99
A,Mon,08:50,12.99
C,Mon,09:10,9.99
D,Mon,10:20,24.99
C,Mon,10:24,9.99
B,Mon,11:05,4.49
B,Mon,13:46,4.49
C,Mon,13:57,9.99
C,Mon,14:07,9.99
B,Mon,14:36,4.49
C,Mon,14:48,9.99
B,Mon,14:50,4.49
C,Mon,15:08,9.99
B,Mon,15:46,4.49
D,Mon,15:47,24.99
D,Mon,15:52,24.99
A,Mon,16:10,12.99
A,Mon,16:17,12.99
B,Tue,08:25,4.49
C,Tue,08:37,9.99
A,Tue,08:39,12.99
A,Tue,08:44,12.99
C,Tue,08:50,9.99
D,Tue,09:05,24.99
C,Tue,09:37,9.99
D,Tue,10:20,24.99
C,Tue,10:24,9.99
B,Tue,11:05,4.49
C,Tue,12:21,9.99
B,Tue,13:40,4.49
C,Tue,14:01,9.99
A,Tue,14:14,12.99
B,Tue,14:46,4.49
C,Tue,14:52,9.99
B,Tue,14:59,4.49
C,Tue,15:02,9.99
B,Tue,15:27,4.49
B,Tue,15:33,4.49
D,Tue,15:47,24.99
A,Tue,16:11,12.99
D,Tue,16:22,24.99
C,Wed,08:34,9.99
B,Wed,08:45,4.49
B,Wed,09:35,4.49
B,Wed,09:46,4.49
C,Wed,09:57,9.99
C,Wed,10:03,9.99
A,Wed,10:05,12.99
C,Wed,10:10,9.99
D,Wed,10:20,24.99
C,Wed,11:48,9.99
B,Wed,11:50,4.49
C,Wed,12:08,9.99
C,Wed,12:17,9.99
B,Wed,12:36,4.49
A,Wed,13:39,12.99
B,Wed,14:46,4.49
D,Wed,15:40,24.99
A,Wed,16:17,12.99
B,Wed,16:22,4.49
A,Wed,16:32,12.99
C,Wed,16:37,9.99
C,Thu,09:37,9.99
D,Thu,10:20,24.99
C,Thu,10:24,9.99
B,Thu,11:05,4.49
C,Thu,12:21,9.99
B,Thu,14:46,4.49
C,Thu,14:52,9.99
B,Thu,14:59,4.49
C,Thu,15:02,9.99
B,Thu,15:03,4.49
B,Thu,15:38,4.49
B,Thu,15:49,4.49
B,Thu,15:33,4.49
A,Thu,15:41,12.99
D,Thu,15:47,24.99
D,Thu,16:02,24.99
A,Thu,16:13,12.99
C,Fri,09:30,9.99
D,Fri,09:41,24.99
C,Fri,10:20,9.99
B,Fri,10:25,4.49
C,Fri,11:08,9.99
B,Fri,11:40,4.49
C,Fri,12:28,9.99
C,Fri,12:37,9.99
A,Fri,13:39,12.99
B,Fri,12:46,4.49
C,Fri,12:21,9.99
B,Fri,13:16,4.49
C,Fri,13:52,9.99
B,Fri,14:36,4.49
D,Fri,15:40,24.99
A,Fri,15:57,12.99
B,Fri,16:22,4.49
A,Fri,16:32,12.99
C,Fri,16:37,9.99
C,Sat,09:30,9.99
C,Sat,09:32,9.99
D,Sat,09:51,24.99
D,Sat,10:00,24.99
C,Sat,10:10,9.99
B,Sat,10:25,4.49
C,Sat,10:34,9.99
B,Sat,11:15,4.49
C,Sat,11:28,9.99
A,Sat,11:30,12.99
B,Sat,11:40,4.49
A,Sat,11:48,12.99
B,Sat,12:01,4.49
C,Sat,12:23,9.99
C,Sat,12:26,9.99
C,Sat,12:38,9.99
C,Sat,12:47,9.99
B,Sat,13:09,4.49
B,Sat,13:40,4.49
C,Sat,13:52,9.99
B,Sat,13:59,4.49
C,Sat,14:28,9.99
C,Sat,14:52,9.99
B,Sat,15:23,4.49
B,Sat,15:39,4.49
B,Sat,15:45,4.49
A,Sat,15:51,12.99
D,Sat,15:58,24.99
D,Sat,16:02,24.99
A,Sat,16:04,12.99
D,Sat,16:12,24.99
C,Sat,16:16,9.99
A,Sat,16:23,12.99
B,Sat,16:27,4.49
A,Sat,16:33,12.99
A,Sat,16:34,9.99
