Book_ID	ISBN	Book-Title	Book-Author	Year-Of-Publication	Publisher	Image-URL-S	Image-URL-M	Image-URL-L
1	0060973129	Decision in Normandy	Carlo D'Este	1991	HarperPerennial	http://images.amazon.com/images/P/0060973129.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg	
2	0393045218	The Mummies of Urumchi	E. J. W. Barber	1999	W. W. Norton &amp	 Company	http://images.amazon.com/images/P/0393045218.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0393045218.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg	
3	0425176428	What If?: The World's Foremost Military Historians Imagine What Might Have Been	Robert Cowley	2000	Berkley Publishing Group	http://images.amazon.com/images/P/0425176428.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg	
4	0452264464	Beloved (Plume Contemporary Fiction)	Toni Morrison	1994	Plume	http://images.amazon.com/images/P/0452264464.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg	
5	0609804618	Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source	The Onion	1999	Three Rivers Press	http://images.amazon.com/images/P/0609804618.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0609804618.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg	
6	1841721522	New Vegetarian: Bold and Beautiful Recipes for Every Occasion	Celia Brooks Brown	2001	Ryland Peters &amp	 Small Ltd	http://images.amazon.com/images/P/1841721522.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/1841721522.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg	
7	1879384493	If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself	J. R. Parrish	2003	Cypress House	http://images.amazon.com/images/P/1879384493.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/1879384493.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg	
8	0345402871	Airframe	Michael Crichton	1997	Ballantine Books	http://images.amazon.com/images/P/0345402871.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg	
9	0345417623	Timeline	MICHAEL CRICHTON	2000	Ballantine Books	http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg	
10	0684823802	OUT OF THE SILENT PLANET	C.S. Lewis	1996	Scribner	http://images.amazon.com/images/P/0684823802.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0684823802.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg	
